start_time,end_time,speaker,phrase
0.0,1.44,Unknown,Are you out of the house yet?
1.96,2.4,Caller,No.
2.64,3.64,Unknown,"All right, get out of the house."
4.0,4.74,Caller,We can't.
6.0,7.24,Caller,There's nothing open.
7.3,8.98,Caller,"If I open the door, it's too much smoke."
9.1,9.4,Unknown,Okay.
9.98,10.64,Unknown,All right.
11.4,12.06,Unknown,What's your name?
12.66,13.02,Caller,Huh?
13.22,13.78,Unknown,What's your name?
13.86,14.02,Unknown,Quick.
14.46,15.34,Caller,I'm DJ Fry.
19.58,20.28,Unknown,All right.
21.36,22.78,Unknown,Try to get out of the house if you can.
27.34,28.22,Unknown,"Sorry, you still there?"
28.7,29.1,Caller,Yes.
29.1,30.62,Unknown,"Okay, I'm going to stay on the phone with you, all right?"
30.84,31.2,Caller,Okay.
33.8,34.36,Unknown,How far?
34.48,35.0,Caller,Two traps.
37.7,38.06,Unknown,Okay.
38.5,40.52,Unknown,"Honey, are you on the first floor or second floor?"
40.58,41.2,Unknown,Where in the house are you?
41.2,41.86,Caller,Second floor.
41.98,42.76,Unknown,You're on the second floor?
43.16,43.48,Caller,Yes.
43.66,47.36,Unknown,"Okay, if I'm looking at your house, are you going to be on the left or the right side?"
48.4,49.2,Caller,I'm on the...
50.28,51.94,Caller,I'm all the way at the top.
52.08,53.12,Unknown,You're all the way at the top?
53.26,53.52,Caller,Yes.
53.54,54.94,Unknown,"Okay, you're on the second floor."
55.4,58.02,Unknown,"If I come up your stairs, honey, which way do I turn to get to you?"
58.02,60.62,Caller,You're up the stairs.
60.96,61.28,Caller,Uh-huh.
61.88,64.84,Caller,I'm in the room that has the door closed.
65.08,66.44,Unknown,You're in the room that has the door closed.
66.48,67.72,Unknown,All the other rooms have doors open?
68.12,68.44,Caller,Yes.
68.6,68.86,Unknown,Okay.
69.0,70.62,Unknown,Can you get to a window and open your window?
70.98,71.3,Caller,Yes.
71.54,72.52,Unknown,Is the window open now?
72.8,73.12,Caller,Yes.
73.38,75.7,Unknown,"Can you see, is it in the front of the house or the back of the house?"
76.08,77.16,Caller,I'm in the back.
77.24,78.56,Caller,I'm like on the side of the house.
78.64,79.14,Unknown,Which side?
79.18,81.86,Unknown,"If I'm looking at your house from the front or the right or the left side, sweetie?"
82.22,82.96,Caller,I'm on the right.
83.12,83.4,Unknown,Okay.
83.6,84.36,Unknown,Hold on one second.
86.32,87.08,Caller,Y'all be careful.
87.08,88.0,Caller,Y'all be careful.
88.38,88.84,Caller,The baby.
89.2,89.94,Unknown,"Okay, ma'am."
90.12,90.44,Unknown,All right.
91.42,92.5,Unknown,"Okay, how many people in the room?"
93.48,95.48,Caller,"One, two, three, four, five."
95.66,96.02,Unknown,Five?
96.3,97.54,Unknown,We got five people in the room?
97.96,98.32,Caller,Yes.
