start_time,end_time,speaker,phrase
0.0,6.0,911 Operator,"Austin 911, do you need police, fire, EMS, or health services?"
6.0,11.0,911 Operator,"Hello, what address?"
11.0,22.0,Caller,"I was at a light on 290 and Cameron Road. It's like on the corner. There's a guy. He crashed. He crashed into some other people, but I guess he took off down the street."
22.0,30.0,Caller,"And he has an NR15 on him. He's like at the light, like swinging it everywhere, pointing at people. I had to, I took off, I took off under the light."
30.0,32.0,911 Operator,Where is he right now?
32.0,41.0,Caller,He's on Cameron Road and 290 with no shirt. He's bald. He has like a bandana around his neck and he has an M60.
41.0,44.0,911 Operator,"Okay, what side on 290 is this?"
44.0,48.0,Caller,It's on the left side crossing. Excuse me?
48.0,51.0,911 Operator,Is this the high school side or on?
52.0,63.0,Caller,"No, it's like on, it's on the other side. It's on the other side by the kip. You know, there's a kip next to a Wendy's and a 7-Eleven or a Shell. It's a store."
63.0,65.0,911 Operator,A kip?
65.0,70.0,Caller,"Yes, there's a kip on Cameron Road and 290."
70.0,75.0,911 Operator,"Okay, do you mean Cameron Road and 183?"
75.0,78.0,Caller,"What is this? Yes, it's 183. I'm sorry. Yes, it's 183."
78.0,79.0,911 Operator,That's okay.
79.0,81.0,Caller,"Cameron, Cameron Road and 183."
81.0,83.0,Unknown,I'm just wondering.
83.0,92.0,Caller,I'm just worried because he took off on those people and like they were hurt really bad but I told him to leave because he was literally mad and he was pointing the gun at everybody. I have to fix the red light.
92.0,97.0,911 Operator,"Okay and where, do you know where he is now? Is that what you were saying?"
97.0,111.0,Caller,"He's at the light. He's at the light on, on the, I would say on the right side of 183. It's right in front of a store. I think it's a 7-Eleven or a Shell by a Wendy's."
111.0,112.64,Caller,It's right in front of Kitts.
112.64,113.0,911 Operator,Cool.
115.6,116.7,911 Operator,So he's at the shell?
118.02,120.76,Caller,"Yes, like in front of the shell, at the light."
120.92,127.26,Caller,"Literally, like, where you tend to go to the left on 183."
127.36,128.26,Caller,"He's, like, at a light."
129.44,130.96,911 Operator,"Okay, is he in his vehicle?"
132.48,138.08,Caller,"No, he left the vehicle on the other side of the highway, of the freeway, I mean."
138.46,140.84,Caller,"He, like, walked and he just stayed at the light."
142.0,143.54,911 Operator,"Okay, and what color shirt is he wearing?"
144.8,145.76,Caller,He's not wearing a shirt.
145.9,149.56,Caller,"He has no shirt, the M16 on his hand, and he's bald."
149.72,151.48,Caller,He has a bandana around his neck.
152.36,153.86,911 Operator,Is he Hispanic male?
155.2,157.48,Caller,"Yes, I think he was, or he might be black."
157.56,158.06,Caller,I'm not sure.
158.18,158.88,Caller,It's dark outside.
159.0,159.62,Caller,He's Mexican.
160.32,161.4,911 Operator,And he said he's Hispanic.
162.4,163.22,911 Operator,And he said he's bald?
164.4,165.24,Caller,"Yes, he's bald."
165.44,166.68,Caller,"He's, like, bald."
167.26,168.22,911 Operator,Did you see what color bottoms?
170.22,170.62,Caller,Black.
171.0,171.36,Caller,Black.
175.26,176.36,911 Operator,Are they pants or shorts?
178.0,178.66,Caller,Excuse me?
179.06,180.04,911 Operator,Are they pants or shorts?
180.68,181.44,Caller,They're pants.
181.76,183.04,Caller,And he's wearing black shoes.
246.2,248.0,Caller,He was literally just at the light waiting.
275.96,277.92,911 Operator,We do have a call over there right now.
